datetime,open,high,low,close,volume
2019-06-04 02:59:00+00:00,8037.12,8044.98,8035.9,8042.1,39.349614
2019-06-04 03:00:00+00:00,8042.1,8042.1,8034.84,8036.32,17.750796
2019-06-04 03:01:00+00:00,8035.63,8036.32,8027.65,8031.54,23.992245
2019-06-04 03:02:00+00:00,8031.55,8038.59,8030.0,8037.67,15.597496
2019-06-04 03:03:00+00:00,8036.34,8038.88,8030.81,8035.14,11.645586
2019-06-04 03:04:00+00:00,8035.14,8037.92,8031.87,8033.43,26.338079
2019-06-04 03:05:00+00:00,8033.56,8033.61,8020.86,8024.89,44.762872
2019-06-04 03:06:00+00:00,8024.89,8029.86,8023.76,8027.09,29.516267
2019-06-04 03:07:00+00:00,8029.13,8029.71,8019.01,8028.46,31.440601
2019-06-04 03:08:00+00:00,8029.33,8033.61,8027.36,8030.01,39.461763
2019-06-04 03:09:00+00:00,8030.01,8030.01,8025.05,8025.05,17.730722
2019-06-04 03:10:00+00:00,8025.05,8029.5,8024.26,8027.51,27.50571
2019-06-04 03:11:00+00:00,8027.95,8029.54,8019.01,8020.15,28.674176
2019-06-04 03:12:00+00:00,8020.15,8020.17,8006.95,8013.14,32.186963
2019-06-04 03:13:00+00:00,8013.13,8022.53,8012.2,8017.57,23.585938
2019-06-04 03:14:00+00:00,8017.8,8017.95,8012.12,8013.98,18.577401
2019-06-04 03:15:00+00:00,8013.98,8014.8,8006.35,8007.28,34.065351
2019-06-04 03:16:00+00:00,8006.36,8014.83,8006.1,8012.21,23.400702
2019-06-04 03:17:00+00:00,8013.65,8019.0,8010.04,8014.91,28.28833
2019-06-04 03:18:00+00:00,8013.83,8018.93,8013.42,8016.05,17.878006
2019-06-04 03:19:00+00:00,8016.05,8016.05,8006.0,8006.0,22.150713
2019-06-04 03:20:00+00:00,8006.0,8014.67,8005.0,8008.01,30.366592
2019-06-04 03:21:00+00:00,8008.0,8010.07,8002.01,8002.01,37.45191
2019-06-04 03:22:00+00:00,8002.04,8002.04,7990.0,7995.46,60.337544
2019-06-04 03:23:00+00:00,7994.94,8007.72,7992.16,8002.63,40.45655
2019-06-04 03:24:00+00:00,8003.12,8007.3,7998.96,8005.37,26.542506
2019-06-04 03:25:00+00:00,8005.35,8014.53,8003.86,8014.53,11.171105
2019-06-04 03:26:00+00:00,8014.3,8023.68,8012.11,8015.29,25.425379
2019-06-04 03:27:00+00:00,8015.22,8016.0,8013.93,8015.62,8.54045
2019-06-04 03:28:00+00:00,8015.16,8015.97,8008.27,8008.27,14.908097
2019-06-04 03:29:00+00:00,8008.27,8013.66,8005.89,8008.96,17.614153
2019-06-04 03:30:00+00:00,8008.87,8015.0,7984.92,7989.36,86.796476
2019-06-04 03:31:00+00:00,7992.53,7992.95,7980.0,7985.52,48.781787
2019-06-04 03:32:00+00:00,7985.52,7992.48,7975.84,7978.98,37.018397
2019-06-04 03:33:00+00:00,7975.85,7989.33,7975.3,7985.06,58.314941
2019-06-04 03:34:00+00:00,7985.06,7993.36,7985.05,7993.31,25.368518
2019-06-04 03:35:00+00:00,7993.31,7996.34,7986.86,7989.73,31.03919
