open,high,low,close,volume,datetime
8698.44,8706.34,8695.58,8701.6,15.47929,2019-06-02 21:59:00+00:00
8703.52,8710.07,8702.04,8704.78,24.932441,2019-06-02 22:00:00+00:00
8704.94,8709.68,8695.98,8698.73,13.253253,2019-06-02 22:01:00+00:00
8698.0,8699.82,8690.01,8690.01,9.55188,2019-06-02 22:02:00+00:00
8690.01,8690.22,8678.61,8681.7,18.621974,2019-06-02 22:03:00+00:00
8683.16,8692.19,8681.61,8687.49,7.699857,2019-06-02 22:04:00+00:00
8687.49,8699.98,8686.9,8696.79,9.706633,2019-06-02 22:05:00+00:00
8697.97,8703.18,8694.09,8701.2,5.642673,2019-06-02 22:06:00+00:00
8698.66,8701.55,8672.62,8685.71,35.342814,2019-06-02 22:07:00+00:00
8680.25,8691.52,8680.25,8688.63,8.676178,2019-06-02 22:08:00+00:00
8688.51,8694.16,8688.05,8691.25,4.688683,2019-06-02 22:09:00+00:00
8691.25,8692.17,8682.81,8682.81,3.961555,2019-06-02 22:10:00+00:00
8682.81,8692.19,8676.08,8688.2,10.415197,2019-06-02 22:11:00+00:00
8688.2,8694.89,8688.2,8688.82,3.80511,2019-06-02 22:12:00+00:00
8691.99,8693.02,8688.9,8692.2,5.541624,2019-06-02 22:13:00+00:00
8692.2,8696.72,8690.05,8696.72,7.17347,2019-06-02 22:14:00+00:00
8696.72,8701.17,8696.72,8701.08,6.649159,2019-06-02 22:15:00+00:00
8699.08,8702.88,8699.0,8701.53,7.189236,2019-06-02 22:16:00+00:00
8701.55,8702.88,8688.0,8688.29,24.529798,2019-06-02 22:17:00+00:00
8688.29,8696.0,8684.33,8693.13,9.805158,2019-06-02 22:18:00+00:00
8693.13,8693.14,8680.15,8682.35,6.832113,2019-06-02 22:19:00+00:00
8681.04,8685.69,8681.04,8683.01,4.13979,2019-06-02 22:20:00+00:00
8685.16,8695.89,8683.1,8695.89,8.916923,2019-06-02 22:21:00+00:00
8696.22,8704.24,8692.96,8700.04,13.123653,2019-06-02 22:22:00+00:00
8700.09,8705.02,8699.18,8700.71,5.11679,2019-06-02 22:23:00+00:00
8703.31,8704.98,8686.88,8687.9,20.379841,2019-06-02 22:24:00+00:00
8690.1,8701.39,8687.89,8699.82,4.265021,2019-06-02 22:25:00+00:00
8699.83,8706.02,8698.74,8705.26,8.194537,2019-06-02 22:26:00+00:00
8706.02,8707.0,8691.99,8695.23,17.378647,2019-06-02 22:27:00+00:00
8692.38,8699.86,8692.38,8698.89,4.716128,2019-06-02 22:28:00+00:00
8699.04,8703.96,8698.75,8699.81,5.020541,2019-06-02 22:29:00+00:00
8699.85,8703.57,8698.68,8700.0,4.777877,2019-06-02 22:30:00+00:00
8701.95,8703.03,8700.0,8701.87,4.231413,2019-06-02 22:31:00+00:00
8700.01,8701.27,8690.0,8692.53,27.08877,2019-06-02 22:32:00+00:00
8692.53,8699.13,8690.0,8696.02,9.815119,2019-06-02 22:33:00+00:00
8696.02,8701.0,8693.85,8701.0,6.145042,2019-06-02 22:34:00+00:00
8700.1,8707.77,8700.06,8707.77,16.325597,2019-06-02 22:35:00+00:00
8705.32,8729.0,8705.32,8729.0,50.516996,2019-06-02 22:36:00+00:00
8726.35,8731.85,8718.31,8722.13,43.314332,2019-06-02 22:37:00+00:00
8724.94,8731.72,8722.16,8722.37,9.385827,2019-06-02 22:38:00+00:00
8724.0,8725.5,8716.76,8717.87,10.291558,2019-06-02 22:39:00+00:00
8717.87,8730.0,8717.18,8727.0,23.654439,2019-06-02 22:40:00+00:00
8724.92,8731.0,8724.92,8730.21,12.600988,2019-06-02 22:41:00+00:00
8730.97,8739.28,8730.23,8735.61,23.043479,2019-06-02 22:42:00+00:00
8738.0,8746.95,8728.34,8736.05,50.991219,2019-06-02 22:43:00+00:00
8736.7,8747.0,8736.68,8744.35,19.359088,2019-06-02 22:44:00+00:00
8747.0,8747.0,8730.27,8734.15,21.680374,2019-06-02 22:45:00+00:00
8734.05,8737.0,8730.27,8737.0,18.591825,2019-06-02 22:46:00+00:00
8735.91,8744.61,8734.15,8740.0,7.26069,2019-06-02 22:47:00+00:00
8739.86,8740.91,8732.0,8732.0,10.989729,2019-06-02 22:48:00+00:00
8734.55,8734.95,8724.84,8728.13,24.435419,2019-06-02 22:49:00+00:00
8729.0,8733.59,8725.71,8733.59,7.529895,2019-06-02 22:50:00+00:00
8729.53,8733.64,8727.31,8728.62,11.534281,2019-06-02 22:51:00+00:00
8732.03,8743.84,8730.9,8743.78,31.363432,2019-06-02 22:52:00+00:00
8742.04,8744.24,8734.14,8736.7,17.130562,2019-06-02 22:53:00+00:00
8736.71,8741.35,8736.61,8736.61,4.370553,2019-06-02 22:54:00+00:00
8737.45,8740.29,8728.67,8730.0,17.28293,2019-06-02 22:55:00+00:00
8730.0,8744.14,8728.96,8739.98,12.275021,2019-06-02 22:56:00+00:00
8740.0,8742.05,8735.0,8735.33,12.277417,2019-06-02 22:57:00+00:00
8735.0,8735.6,8730.0,8733.0,4.466498,2019-06-02 22:58:00+00:00
8730.55,8736.43,8730.55,8732.25,10.050728,2019-06-02 22:59:00+00:00
8734.51,8734.51,8727.12,8729.98,12.850827,2019-06-02 23:00:00+00:00
8727.41,8734.91,8727.0,8734.91,21.387803,2019-06-02 23:01:00+00:00
8733.06,8735.0,8727.66,8728.18,9.434027,2019-06-02 23:02:00+00:00
8728.18,8729.49,8721.0,8722.52,11.412037,2019-06-02 23:03:00+00:00
8721.0,8729.06,8719.84,8727.85,7.491296,2019-06-02 23:04:00+00:00
8728.95,8733.85,8724.06,8728.26,8.191623,2019-06-02 23:05:00+00:00
8725.66,8726.05,8720.03,8722.29,5.321215,2019-06-02 23:06:00+00:00
8720.12,8723.62,8715.6,8717.93,17.38321,2019-06-02 23:07:00+00:00
8718.0,8718.0,8708.52,8709.02,13.71684,2019-06-02 23:08:00+00:00
